Boat,Class,Code,DPN,DPN1,DPN2,DPN3,DPN4
4.45,Centerboard,4.45,(97.20),,(97.30),,
360,Centerboard,360,(102.00),,,,
14 (Int.),Centerboard,14,85.3,86.9,85.4,84.2,84.1
29er,Centerboard,29,84.5,(85.80),84.7,83.9,(78.90)
405 (Int.),Centerboard,405,89.9,,(89.20),,
420 (Int. or Club),Centerboard,420,97.6,103.4,100,95,90.8
470 (Int.),Centerboard,470,86.3,91.4,88.4,85,82.1
49er (Int.),Centerboard,49,68.2,,69.6,,
505 (Int.),Centerboard,505,79.8,82.1,80.9,79.6,78
747 Cat Rig (SA=75),Centerboard,747,(97.60),(102.50),(98.50),,
747 Sloop (SA=116),Centerboard,747SL,96.9,(97.70),97.1,,
A Scow,Centerboard,A-SC,61.3,[63.2],62,[56.0],
Akroyd,Centerboard,AKR,99.3,(97.70),99.4,[102.8],
Albacore (15'),Centerboard,ALBA,90.3,94.5,92.5,88.7,85.8
Alpha,Centerboard,ALPH,110.4,(105.50),110.3,110.3,
Alpha One,Centerboard,ALPHO,89.5,90.3,90,[90.5],
Alpha Pro,Centerboard,ALPRO,(97.30),,(98.30),,
American 14.6,Centerboard,AM-146,96.1,,96.5,,
American 16,Centerboard,AM-16,103.6,(110.20),105,,
American 17,Centerboard,AM-17,[105.5],,,,
American 18,Centerboard,AM-18,[102.0],,,,
Apache,Centerboard,APC,(113.80),(116.10),,,
"Apollo C/B (15'9"")",Centerboard,APOL,92.4,96.6,94.4,(90.00),(89.10)
Aqua Finn,Centerboard,AQFN,106.3,,106.4,,
Arrow 15,Centerboard,ARO15,(96.70),,(96.40),,
B14,Centerboard,B14,(81.00),,(83.90),,
Balboa 13,Centerboard,BLB13,[91.4],,,,
Bandit (Canadian),Centerboard,BNDT,98.2,,(100.20),,
Bandit 15,Centerboard,BND15,97.9,100.7,98.8,96.7,[96.7]
Bandit 17,Centerboard,BND17,(97.00),[101.6],(99.50),,
Banshee,Centerboard,BNSH,93.7,95.9,94.5,92.5,[90.6]
Barnegat 17,Centerboard,BG-17,100.3,,100.9,,
Barnegat Bay Sneakbox,Centerboard,B16F,110.6,,110.5,[107.4],
Barracuda,Centerboard,BAR,(102.00),,(100.00),,
Bat Mk 2,Centerboard,BAT-2,(107.00),,,,
Bay Hustler,Centerboard,BHSL,[95.0],,,,
BBC Scow (12' Custom),Centerboard,BBC-SC,104.4,,107.1,,
BBC Sloop,Centerboard,BBC-SL,111.6,,114.6,,
